Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Role,Unit Assignment,Force,Deployed,Mech,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Marriageable,Divorceable,Trying to Conceive,Immortal,Toughness,Edge,SPA Count,Implant Count,Portrait Path
"",Sergeant,Nasser,Hasan,,Nasser,Hasan,,,Commando,3005-10-12,Active,Male,Regular,MechWarrior,Thunderbolt TDR-5SS,Heavy Lance,-,5/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,500 C-Bill",4,Lyran Commonwealth,Steelton,3005-10-12,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,Male/MechWarrior/MW_M_65.png
"",Sergeant,Rosa,Bice,,Rosa,Bice,,,Rigs,2998-01-03,Active,Female,Regular,MechWarrior,Grasshopper GHR-5H,Medium Lance,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,"1,500 C-Bill",6,Mercenary,Harvest,2998-01-03,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,Female/MechWarrior/MW_F_68.png
"",,Annice,Cergueiro,,Annice,Cergueiro,,,Dekker,2996-03-15,Active,Female,Elite,Mech Tech,Stalker STK-4N (360m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,0,"2,560 C-Bill",1,Independent,Star's End (Novo Cressidas),2996-03-15,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Mech Tech/MechTech_F_1.png
"",,Donna,Park,,Donna,Park,,,Toothsome,2998-10-06,Active,Female,Veteran,Mech Tech,Black Knight BL-7-KNT-L (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0,0,"1,280 C-Bill",1,Mercenary,Harvest,2998-10-06,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Mech Tech/MechTech_F_12.png
"",,Ryuzaburo,Sanu,,Ryuzaburo,Sanu,,,Cherry,2997-03-03,Active,Male,Veteran,Mech Tech,Grasshopper GHR-5H (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0,0,"1,280 C-Bill",3,Mercenary,Persistence,2997-03-03,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Mech Tech/MechTech_M_12.png
"",,Sally-Rose,Bahia,,Sally-Rose,Bahia,,,Lumberjack,3001-03-26,Active,Female,Elite,Mech Tech,Rifleman RFL-3N (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,0,"2,560 C-Bill",1,Lyran Commonwealth,Persistence,3001-03-26,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,1,0,Female/Mech Tech/MechTech_F_16.png
"",,Haeyanti,Muljana,,Haeyanti,Muljana,,,Mother,3001-03-10,Active,Female,Regular,Mech Tech,Thunderbolt TDR-5SS (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,4,Lyran Commonwealth,Chateau,3001-03-10,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Mech Tech/MechTech_F_7.png
"",,Sal,Cooper,,Sal,Cooper,,,Sweetness,3000-03-01,Active,Male,Regular,Mech Tech,Dervish DV-6M (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,4,Independent,Star's End (Novo Cressidas),3000-03-01,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Mech Tech/MechTech_M_7.png
"",,Robert,Brzoza,,Robert,Brzoza,,,Chick,2997-03-21,Active,Male,Veteran,Mech Tech,Griffin GRF-1S (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0,0,"1,280 C-Bill",3,Mercenary,Romulus,2997-03-21,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Mech Tech/MechTech_M_4.png
"",,Ciaran,Kula,,Ciaran,Kula,,,Lookout,3001-09-01,Active,Male,Regular,Mech Tech,Hunchback HBK-4P (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,1,Lyran Commonwealth,Romulus,3001-09-01,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Mech Tech/MechTech_M_14.png
"",,Andréa,Lcio,,Andréa,Lcio,,,Beagle,2994-03-18,Active,Female,Regular,Mech Tech,Thunderbolt TDR-5SS #2 (75m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,4,Mercenary,Toland,2994-03-18,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Mech Tech/MechTech_F_22.png
"",,Dagobert,Goltz,,Dagobert,Goltz,,,Pyro,3005-05-06,Active,Male,Regular,Mech Tech,Javelin JVN-10F 'Fire Javelin' (180m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,5,Independent,Star's End (Novo Cressidas),3005-05-06,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Mech Tech/MechTech_M_3.png
"",,Jeff,Talip,,Jeff,Talip,,,Tank,3001-05-27,Active,Male,Regular,Mech Tech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,5,Draconis Combine,Verthandi (Norn),3001-05-27,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Mech Tech/MechTech_M_5.png
"",,Bonnie,Newsome,,Bonnie,Newsome,,,Arbalest,3001-07-10,Active,Female,Regular,Mech Tech,Wolfhound WLF-1 (180m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,0,800 C-Bill,4,Mercenary,Chateau,3001-07-10,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Mech Tech/MechTech_F_20.png
"",,Dr Steve,Torumtay,Dr,Steve,Torumtay,,,Bulldog,3003-03-11,Active,Male,Elite,Doctor,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,0,0,"4,800 C-Bill",0,Mercenary,New Caledonia,3003-03-11,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Doctor/Doctor_M_8.png
"",Master Sergeant,Haniyya,Jalal,,Haniyya,Jalal,,,Kayak,3002-10-10,Active,Female,Elite,Admin/Command,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,0,0,"1,600 C-Bill",5,Independent,Star's End (Novo Cressidas),3002-10-10,3028-01-01,3028-09-04,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Admin/Command/Adm_Com_F_2.png
"",,Tihana,Plavsic,,Tihana,Plavsic,,,Moon,2993-12-30,Active,Female,Elite,Admin/Logistical,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,0,0,"1,600 C-Bill",5,Draconis Combine,New Caledonia,2993-12-30,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Admin/Logistical/Adm_Log_F_6.png
"",,Francisco,Gabrieli,,Francisco,Gabrieli,,,Mustang,2994-02-24,Active,Male,Elite,Admin/Transport,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,0,0,"1,600 C-Bill",9,Mercenary,Toland,2994-02-24,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,1,0,Male/Admin/Transport/Adm_Trans_M_4.png
"",,Bradley,Stoner,,Bradley,Stoner,,,Sapphire,3004-03-31,Active,Male,Elite,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,0,0,"1,600 C-Bill",4,Mercenary,Verthandi (Norn),3004-03-31,3028-01-01,3028-01-01,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Admin/HR/Adm_HR_M_6.png
"",Lieutenant SG,Daniela,Valdevieso,,Daniela,Valdevieso,,,Convict,2994-04-25,Active,Female,Elite,VTOL Pilot,Strike Falcon Attack VTOL [Driver],VTOL Infantry,-,-/-,4/-,4/-,4/3,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"3,456 C-Bill",1,Independent,Star's End (Novo Cressidas),2994-04-25,3028-01-01,3028-09-04,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/VTOL Pilot/VTOL_F_11.png
"",Private,William,Kleppa,,William,Kleppa,,,Sourdough,3006-10-28,Active,Male,Veteran,Vehicle Gunner,Strike Falcon Attack VTOL [Gunner],VTOL Infantry,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"1,440 C-Bill",4,Mercenary,Verthandi (Norn),3006-10-28,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Gunner/VeeGunner_M_12.png
"",Private,Masaru,Yi,,Masaru,Yi,,,Taniwha,3000-08-17,Active,Male,Regular,Vehicle Gunner,Strike Falcon Attack VTOL [Gunner],VTOL Infantry,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,900 C-Bill,3,Mercenary,Csesztreg,3000-08-17,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Gunner/VeeGunner_M_64.png
"",Private,Aksata,Qadir-Kumawagra,,Aksata,Qadir-Kumawagra,,,Plan B,3000-09-16,Active,Male,Green,Vehicle Crewmember,Strike Falcon Attack VTOL [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/8,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,9,-,-,-,-,-,0,2,540 C-Bill,3,Mercenary,Winfield,3000-09-16,3028-01-01,3028-09-22,,,,No,No,No,N/A,Yes,N/A,No,0,0,0,0,Male/Vehicle Crew/VeeCrew_M_7.png
"",Private,Dhyana,Osmani,,Dhyana,Osmani,,,Steamer Duck,3002-03-16,Active,Male,Regular,Vehicle Crewmember,Strike Falcon Attack VTOL [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/8,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,0,2,900 C-Bill,3,Lyran Commonwealth,Toland,3002-03-16,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Crew/VeeCrew_M_9.png
"",Private,Haniyya,bin Sajid,,Haniyya,bin Sajid,,,Luna,3002-01-07,Active,Female,Veteran,VTOL Pilot,Strike Falcon Attack VTOL #2 [Driver],VTOL Infantry,-,-/-,4/-,4/-,4/4,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,440 C-Bill",5,Draconis Combine,Verthandi (Norn),3002-01-07,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/VTOL Pilot/VTOL_F_12.png
"",Private,Joel,Akua,,Joel,Akua,,,Rafter,3004-11-26,Active,Female,Veteran,Vehicle Gunner,Strike Falcon Attack VTOL #2 [Gunner],VTOL Infantry,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,4,-,5,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,440 C-Bill",3,Mercenary,Trell I,3004-11-26,3028-01-01,3028-09-22,,,,No,No,No,N/A,Yes,Yes,No,0,0,1,0,Female/Vehicle Gunner/VeeGunner_F_9.png
"",Private,Debra,Durán,,Debra,Durán,,,Crashdown,2996-04-07,Active,Female,Veteran,Vehicle Gunner,Strike Falcon Attack VTOL #2 [Gunner],VTOL Infantry,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,440 C-Bill",4,Mercenary,Icar,2996-04-07,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Vehicle Gunner/VeeGunner_F_22.png
"",Private,Nira,Cabecinho,,Nira,Cabecinho,,,Hardcore,3006-10-18,Active,Female,Regular,Vehicle Crewmember,Strike Falcon Attack VTOL #2 [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,7,-,-,-,-,-,0,3,900 C-Bill,12,Draconis Combine,Harvest,3006-10-18,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Vehicle Crew/VeeCrew_F_11.png
"",Private,Myun-gu,Mangchol,,Myun-gu,Mangchol,,,Leech,3005-09-28,Active,Male,Green,Vehicle Crewmember,Strike Falcon Attack VTOL #2 [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,0,3,540 C-Bill,11,Draconis Combine,Csesztreg,3005-09-28,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Female/Vehicle Crew/VeeCrew_F_16.png
"",Private,Gheorghita,Zhou,,Gheorghita,Zhou,,,Toad,3000-12-10,Active,Female,Veteran,VTOL Pilot,Strike Falcon Attack VTOL #3 [Driver],VTOL Infantry,-,-/-,4/-,4/-,4/4,-/-,-/-,-/-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,1,"1,440 C-Bill",2,Mercenary,Trell I,3000-12-10,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/VTOL Pilot/VTOL_F_14.png
"",Private,John,Martin,,John,Martin,,,Duchess,3006-07-04,Active,Male,Green,Vehicle Gunner,Strike Falcon Attack VTOL #3 [Gunner],VTOL Infantry,-,-/-,5/-,5/-,5/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,540 C-Bill,7,Mercenary,Persistence,3006-07-04,3028-01-01,3028-10-21,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Gunner/VeeGunner_M_30.png
"",Private,Rashad,Tassioglou,,Rashad,Tassioglou,,,Alchemist,3008-02-27,Active,Male,Regular,Vehicle Gunner,Strike Falcon Attack VTOL #3 [Gunner],VTOL Infantry,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,900 C-Bill,0,Lyran Commonwealth,Icar,3008-02-27,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Gunner/VeeGunner_M_60.png
"",Private,Zina,Waga,,Zina,Waga,,,Sawblade,3004-08-08,Active,Female,Regular,Vehicle Crewmember,Strike Falcon Attack VTOL #3 [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,7,-,-,-,-,-,0,1,900 C-Bill,8,Mercenary,Maxie's Planet,3004-08-08,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Vehicle Crew/VeeCrew_F_10.png
"",Private,Andrezuria,Juárez,,Andrezuria,Juárez,,,Combo,3003-02-22,Active,Female,Regular,Vehicle Crewmember,Strike Falcon Attack VTOL #3 [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,7,-,-,-,-,-,0,1,900 C-Bill,7,Mercenary,Trell I,3003-02-22,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Vehicle Crew/VeeCrew_F_6.png
"",Private,Widdad,Sabih,,Widdad,Sabih,,,Fang,3007-06-18,Active,Female,Veteran,VTOL Pilot,Strike Falcon Attack VTOL #4 [Driver],VTOL Infantry,-,-/-,5/-,5/-,5/4,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,440 C-Bill",0,Lyran Commonwealth,Toland,3007-06-18,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/VTOL Pilot/VTOL_F_10.png
"",Private,Jamie,Jones,,Jamie,Jones,,,Lion,3003-08-24,Active,Male,Veteran,Vehicle Gunner,Strike Falcon Attack VTOL #4 [Gunner],VTOL Infantry,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,1,"1,440 C-Bill",7,Mercenary,Trell I,3003-08-24,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Gunner/VeeGunner_M_48.png
"",Private,Tobias,Rosit,,Tobias,Rosit,,,Mad Dog,2997-01-27,Active,Male,Veteran,Vehicle Gunner,Strike Falcon Attack VTOL #4 [Gunner],VTOL Infantry,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,440 C-Bill",0,Mercenary,New Caledonia,2997-01-27,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Vehicle Gunner/VeeGunner_M_65.png
"",Private,Jessica,Kakelaka,,Jessica,Kakelaka,,,Heatsink,3006-12-22,Active,Female,Green,Vehicle Crewmember,Strike Falcon Attack VTOL #4 [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,9,-,-,-,-,-,0,1,540 C-Bill,8,Mercenary,Toland,3006-12-22,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Vehicle Crew/VeeCrew_F_57.png
"",Private,Dohm-Phu,Doan,,Dohm-Phu,Doan,,,Tumble,3004-12-27,Active,Male,Green,Vehicle Crewmember,Strike Falcon Attack VTOL #4 [Gunner],VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,9,-,-,-,-,-,0,1,540 C-Bill,8,Independent,Star's End (Novo Cressidas),3004-12-27,3028-01-01,3028-09-22,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Female/Vehicle Crew/VeeCrew_F_15.png
"",Private,Ming-hoa,Parker,,Ming-hoa,Parker,,,,3005-10-25,Active,Male,Regular,Soldier,Jump Platoon (Rifle),VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,750 C-Bill,2,Draconis Combine,Csesztreg,3005-10-25,3028-01-01,3028-09-11,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Soldier/Inf_M_30.png
"",,Vespasiano,Canó,,Vespasiano,Canó,,,,3002-08-20,Killed in Action,Male,Regular,Soldier,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,750 C-Bill,3,Mercenary,New Caledonia,3002-08-20,3028-01-01,3028-01-01,,,3028-08-28,No,No,No,Yes,N/A,N/A,N/A,0,0,0,0,Male/Soldier/Inf_M_4.png
"",Private,Parwin,Shvetank,,Parwin,Shvetank,,,,3006-05-18,Active,Female,Regular,Soldier,Jump Platoon (Rifle),VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,750 C-Bill,5,Independent,Star's End (Novo Cressidas),3006-05-18,3028-01-01,3028-09-11,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,Female/Soldier/Inf_F_42.png
"",Sergeant,Nathan,Morris,,Nathan,Morris,,,,3005-04-01,Active,Male,Veteran,Soldier,Jump Platoon (Rifle),VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,200 C-Bill",2,Mercenary,Verthandi (Norn),3005-04-01,3028-01-01,3028-09-11,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Soldier/Inf_M_51.png
"",Private,Hanauhou,Yarran,,Hanauhou,Yarran,,,,3004-03-05,Active,Male,Regular,Soldier,Jump Platoon (Rifle),VTOL Infantry,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,0,1,750 C-Bill,5,Draconis Combine,Verthandi (Norn),3004-03-05,3028-01-01,3028-09-11,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,Male/Soldier/Inf_M_44.png
