Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Profession,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Connections,Wealth,Reputation,Unlucky,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Reasoning,Strength,Body,Reflexes,Dexterity,Intelligence,Willpower,Charisma
"",Spaceman Recruit,Romano,Massari,,Romano,Massari,,,,3127-11-20,Active,Male,Regular,Vessel Pilot,Union (Crows Nest) [Pilot],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Dieron,3127-11-20,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,High School,None (-),None (-),None (-),Altruistic (++),18,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Robert,,,Robert,,,,,3127-01-25,Active,Male,Regular,Freeborn Vessel Pilot,Union (Crows Nest) [Pilot],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/5,-,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Clan Jade Falcon,Rigil Kentarus,3127-01-25,3151-02-19,3151-02-19,,,,No,No,Yes,Yes,N/A,N/A,No,1,0,0,0,0,-2,0,0,0,11,College,Murderous (--),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Jean,Carp,,Jean,Carp,,,,3125-08-18,Active,Male,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Capolla,3125-08-18,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,13,College,None (-),Conniving (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Kamarupa,,,Kamarupa,,,,,3127-07-29,Active,Male,Green,Freeborn Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,6/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,20,Clan Jade Falcon,Zollikofen,3127-07-29,3151-02-19,3151-05-13,,,,No,No,Yes,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,7,High School,None (-),None (-),None (-),Introverted (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Muldoom,McElroy,,Muldoom,McElroy,,,,3131-09-19,Active,Male,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Asta,3131-09-19,3151-02-19,3151-02-19,,,,No,No,No,No,N/A,N/A,No,0,0,0,0,0,0,0,0,0,15,High School,Hostile (-),None (-),None (-),None (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Bojan,Polak,,Bojan,Polak,,,,3127-09-19,Active,Male,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,5,-,-,7,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Oliver,3127-09-19,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,High School,None (-),None (-),Voracious (+),None (-),15,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Annmarie,Khudiadadzai,,Annmarie,Khudiadadzai,,,,3126-04-20,Active,Female,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Saffel,3126-04-20,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,0,0,0,0,9,High School,None (-),None (-),None (-),Friendly (+),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Petty Officer,Elizabeth,Lawson,,Elizabeth,Lawson,,,,3124-03-29,Active,Male,Elite,Vessel Crewmember / MekTech,Union (Crows Nest) [Crew],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/5,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-,-,0,1,"1,170 C-Bill",15,Lyran Commonwealth,Nuneaton,3124-03-29,3151-02-19,3151-02-19,,,,No,No,No,N/A,Yes,N/A,No,0,0,0,0,0,-2,0,0,0,11,Post-Graduate,Brash (-),None (-),None (-),None (-),14,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",,Foloida,Kadee,,Foloida,Kadee,,,,3127-08-17,Active,Male,Regular,Dependent,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Mercenary,Terra,3127-08-17,3151-02-19,,,,,No,No,No,N/A,Yes,N/A,No,0,0,0,0,0,0,0,0,0,5,Early Childhood,None (-),None (-),None (-),None (-),15,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Commander,Sam,Hofsteder,,Sam,Hofsteder,,,,3125-05-01,Active,Male,Elite,Vessel Pilot,Union (Crows Nest) [Crew],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/3,-,6,-,-,-,-,-,-,-,-,-,4,-,-,-,-,0,1,"2,000 C-Bill",15,Lyran Commonwealth,York (LC),3125-05-01,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,8,College,Diplomatic (++),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Preki,Drach,,Preki,Drach,,,,3130-08-10,Active,Male,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",5,Mercenary,Rigil Kentarus,3130-08-10,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,0,0,0,0,-2,2,0,0,16,High School,None (-),Opportunistic (+),None (-),None (-),17,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Captain,Lupe,Christensen,,Lupe,Christensen,,,,3130-05-29,Active,Female,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,2/-,2/-,2/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,800 C-Bill",5,Mercenary,Yorii,3130-05-29,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,-2,2,0,0,8,High School,None (-),Aspiring (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Steve,Roecken,,Steve,Roecken,,,,3127-03-08,Active,Male,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",5,Mercenary,Styx,3127-03-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,2,0,0,8,High School,None (-),Unambitious (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Asmara,Tsang,,Asmara,Tsang,,,,3130-11-11,Active,Male,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",5,Mercenary,Bryant,3130-11-11,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,2,0,0,16,High School,None (-),None (-),None (-),Erratic (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Hauptmann,Luca Kaplan,,Hauptmann,Luca Kaplan,,,,3124-05-14,Active,Female,Regular,Vehicle Driver,Rommel Tank (Howitzer) Production [Driver],Charlie Lance,-,-/-,3/5,3/-,3/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",5,Mercenary,Dieron,3124-05-14,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,1,0,0,0,0,0,2,0,0,10,High School,Decisive (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Patti,Ríos,,Patti,Ríos,,,,3124-07-19,Active,Female,Veteran,Vehicle Gunner,-,-,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,647 C-Bill",10,Mercenary,Yorii,3124-07-19,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,-1,0,0,0,11,High School,None (-),None (-),None (-),Friendly (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Michael,Hoetker,,Michael,Hoetker,,,,3132-09-08,Active,Male,Regular,Vehicle Gunner,-,-,-,-/-,5/-,5/-,5/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,053 C-Bill",10,Mercenary,Saffel,3132-09-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,14,High School,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Mike,Sabourin,,Mike,Sabourin,,,,3128-10-08,Active,Male,Veteran,Vehicle Gunner,-,-,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,053 C-Bill",10,Mercenary,Denebola,3128-10-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,14,College,Hostile (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Bimo,Soedjatmoko,,Bimo,Soedjatmoko,,,,3133-05-30,Active,Male,Regular,Vehicle Driver,-,-,-,-/-,4/5,4/-,4/-,-/-,-/-,-/-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,053 C-Bill",10,Mercenary,Dyev,3133-05-30,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,13,High School,None (-),None (-),Mercenary (-),Petty (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Gerardo,Hernández,,Gerardo,Hernández,,,,3131-07-10,Active,Other,Green,Vehicle Gunner,-,-,-,-/-,6/-,6/-,6/-,-/-,-/-,-/-,-,6,-,-,7,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",5,Mercenary,Thorin,3131-07-10,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,19,High School,None (-),Aspiring (+),Nefarious (--),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Firdoze,Shirani,,Firdoze,Shirani,,,,3129-05-14,Active,Male,Elite,Vehicle Gunner,-,-,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",5,Mercenary,Yorii,3129-05-14,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,10,College,Assertive (+),None (-),None (-),None (-),15,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Juan,Reyes,,Juan,Reyes,,,,3129-06-03,Active,Male,Elite,Vehicle Gunner,-,-,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",5,Mercenary,New Home,3129-06-03,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,6,High School,None (-),None (-),Insightful (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Kyle,Stewart,,Kyle,Stewart,,,,3130-08-09,Active,Male,Regular,Vehicle Driver,-,-,-,-/-,4/5,4/-,4/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",5,Mercenary,Muphrid,3130-08-09,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,8,High School,None (-),None (-),Insatiable (-),None (-),10,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Neritan,Mala,,Neritan,Mala,,,,3125-08-04,Active,Female,Regular,Battle Armor Pilot,Gray Death Standard Suit [SRM](Sqd4),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,4,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,685 C-Bill",10,Mercenary,Altair,3125-08-04,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,13,High School,None (-),Goal-Oriented (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Joo-Eun,Pak,,Joo-Eun,Pak,,,,3123-08-01,Killed in Action,Female,Elite,Battle Armor Pilot / Battle Armor Tech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,1,5,5,-,-,-,-,-,-,-,5,-,-,-,-,-,0,0,"1,685 C-Bill",5,Mercenary,Caph,3123-08-01,3151-05-13,3151-05-13,,,3151-06-08,No,No,No,No,N/A,Yes,N/A,0,0,0,0,0,-2,0,0,0,12,College,None (-),Persistent (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Suvarnaprabha,Fotiadis,,Suvarnaprabha,Fotiadis,,,,3133-09-22,Killed in Action,Female,Green,Battle Armor Pilot,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,5,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,"1,685 C-Bill",5,Mercenary,Pike IV,3133-09-22,3151-05-13,3151-05-13,,,3151-06-08,No,No,No,Yes,N/A,No,N/A,0,0,0,0,0,0,0,0,0,10,High School,None (-),None (-),None (-),None (-),17,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Terry,Hoan,,Terry,Hoan,,,,3122-09-21,Killed in Action,Male,Veteran,Battle Armor Pilot,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,3,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0,"2,635 C-Bill",5,Mercenary,Yorii,3122-09-21,3151-05-13,3151-05-13,,,3151-06-08,No,No,No,Yes,N/A,N/A,N/A,0,0,0,0,0,-1,0,0,0,15,High School,None (-),None (-),Astute (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Isolde,Jovic,,Isolde,Jovic,,,,3116-06-30,Active,Male,Green,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,6,-,-,5,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Zavijava,3116-06-30,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,11,College,None (-),None (-),None (-),None (-),17,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Yoshida,Murata,,Yoshida,Murata,,,,3130-01-10,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,7,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Epsilon Indi,3130-01-10,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,14,High School,Inflexible (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Jay-hoon,Ramírez,,Jay-hoon,Ramírez,,,,3130-11-24,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Capolla,3130-11-24,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,14,High School,Decisive (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Stanislav,Sibincic,,Stanislav,Sibincic,,,,3132-08-13,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Epsilon Eridani,3132-08-13,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,14,College,None (-),None (-),None (-),Callous (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Tito,Gruska,,Tito,Gruska,,,,3123-11-05,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Pike IV,3123-11-05,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,12,High School,None (-),None (-),None (-),None (-),16,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Kha'n,Drewry,,Kha'n,Drewry,,,,3130-01-16,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Imbros III,3130-01-16,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,11,High School,None (-),Unambitious (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
