Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Profession,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Connections,Wealth,Reputation,Unlucky,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Reasoning,Strength,Body,Reflexes,Dexterity,Intelligence,Willpower,Charisma
"",Sergeant,Nasser,Hasan,,Nasser,Hasan,,,Commando,3005-10-12,Active,Male,Regular,MekWarrior,Thunderbolt TDR-5SS,Alpha Heavy Command Lance,-,4/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,"2,745 C-Bill",45,Lyran Commonwealth,Steelton,3005-10-12,3028-01-01,3028-09-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,1,0,0,9,College,None (-),None (-),Generous (+),None (-),8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Rosa,Bice,,Rosa,Bice,,,Rigs,2998-01-03,Active,Female,Veteran,MekWarrior,Grasshopper GHR-5H,Bravo Medium Striker Lance,-,3/4,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,"4,392 C-Bill",70,Mercenary,Harvest,2998-01-03,3028-01-01,3028-09-11,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,0,1,1,0,9,College,None (-),None (-),None (-),Compassionate (++),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 2nd Class,Annice,Cergueiro,,Annice,Cergueiro,,,Dekker,2996-03-15,Active,Female,Elite,MekTech,Stalker STK-4N (360m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,0,"2,125 C-Bill",36,Independent,Star's End (Novo Cressidas),2996-03-15,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-2,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Donna,Park,,Donna,Park,,,Toothsome,2998-10-06,Active,Female,Veteran,MekTech,Black Knight BL-7-KNT-L (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0,0,"2,342 C-Bill",35,Mercenary,Harvest,2998-10-06,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-1,0,0,0,9,Early Childhood,None (-),Focused (+),None (-),None (-),11,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Ryuzaburo,Sanu,,Ryuzaburo,Sanu,,,Cherry,2997-03-03,Active,Male,Veteran,MekTech,Grasshopper GHR-5H (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0,0,"1,498 C-Bill",69,Mercenary,Persistence,2997-03-03,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,9,Early Childhood,None (-),Aspiring (+),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Master Tech,Sally-Rose,Zimmermann,,Sally-Rose,Zimmermann,,,Lumberjack,3001-03-26,Active,Female,Elite,MekTech,Shadow Hawk SHD-2K (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,0,"5,555 C-Bill",60,Lyran Commonwealth,Persistence,3001-03-26,3028-01-01,3031-02-15,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,-2,1,0,0,9,Early Childhood,None (-),None (-),None (-),Tactful (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Haeyanti,Muljana,,Haeyanti,Muljana,,,Mother,3001-03-10,Active,Female,Veteran,MekTech,Thunderbolt TDR-5SS (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0,0,"1,498 C-Bill",11,Lyran Commonwealth,Chateau,3001-03-10,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,-1,0,0,0,9,Early Childhood,None (-),None (-),None (-),Callous (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Sal,Cooper,,Sal,Cooper,,,Sweetness,3000-03-01,Active,Male,Regular,MekTech,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,54,Independent,Star's End (Novo Cressidas),3000-03-01,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),19,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Robert,Brzoza,,Robert,Brzoza,,,Chick,2997-03-21,Active,Male,Veteran,MekTech,Griffin GRF-1S (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0,0,"2,342 C-Bill",51,Mercenary,Romulus,2997-03-21,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,9,Early Childhood,Decisive (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Ciaran,Kula,,Ciaran,Kula,,,Lookout,3001-09-01,Active,Male,Regular,MekTech,Hunchback HBK-4P (240m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,49,Lyran Commonwealth,Romulus,3001-09-01,3028-01-01,3031-02-15,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),Shrewd (+),None (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Andréa,Yoshimura,,Andréa,Yoshimura,,,Beagle,2994-03-18,Active,Female,Regular,MekTech,Thunderbolt TDR-5SS #2 (300m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,40,Mercenary,Toland,2994-03-18,3028-01-01,3031-02-15,,,,No,Yes,No,N/A,Yes,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),Unambitious (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Dagobert,Goltz,,Dagobert,Goltz,,,Pyro,3005-05-06,Active,Male,Veteran,MekTech,Javelin JVN-10F 'Fire Javelin' (180m),-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0,0,"1,498 C-Bill",11,Independent,Star's End (Novo Cressidas),3005-05-06,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-1,0,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Jeff,Talip,,Jeff,Talip,,,Tank,3001-05-27,Active,Male,Regular,MekTech,Javelin JVN-10N (180m),Charlie Company (Transport),-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,0,936 C-Bill,32,Draconis Combine,Verthandi (Norn),3001-05-27,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),Friendly (+),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Spaceman Recruit,Bonnie,Newsome,,Bonnie,Newsome,,,Arbalest,3001-07-10,Active,Female,Ultra-Green,Vessel Crewmember,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,0,0,402 C-Bill,42,Mercenary,Chateau,3001-07-10,3031-03-01,3031-03-01,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),Resilient (+),None (-),None (-),17,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Doctor,Dr Steve,Torumtay,Dr,Steve,Torumtay,,,Bulldog,3003-03-11,Active,Male,Elite,Doctor,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,-,-,0,0,"9,600 C-Bill",35,Mercenary,New Caledonia,3003-03-11,3028-01-01,3031-02-15,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,-2,0,0,0,9,Doctorate,None (-),None (-),None (-),None (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Master Tech,Haniyya,Jalal,,Haniyya,Jalal,,,Kayak,3002-10-10,Active,Female,Green,Admin/Command,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0,0,651 C-Bill,33,Independent,Star's End (Novo Cressidas),3002-10-10,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),Scheming (--),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Tihana,Plavsic,,Tihana,Plavsic,,,Moon,2993-12-30,Active,Female,Green,Admin/Logistical,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,45,Draconis Combine,New Caledonia,2993-12-30,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,None (-),None (-),None (-),Condescending (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Tech 1st Class,Francisco,Gabrieli,,Francisco,Gabrieli,,,Mustang,2994-02-24,Active,Male,Green,Admin/Transport,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,351 C-Bill,47,Mercenary,Toland,2994-02-24,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,1,0,9,Early Childhood,None (-),Overconfident (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Chief Tech,Bradley,Stoner,,Bradley,Stoner,,,Sapphire,3004-03-31,Active,Male,Green,Admin/HR,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,0,0,549 C-Bill,42,Mercenary,Verthandi (Norn),3004-03-31,3028-01-01,3031-02-24,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,0,0,0,0,9,Early Childhood,Overbearing (-),Excessive (-),None (-),None (-),9,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Lieutenant SG,Daniela,Valdevieso,,Daniela,Valdevieso,,,Convict,2994-04-25,Killed in Action,Female,Elite,VTOL Pilot,-,-,-,-/-,4/-,4/-,4/3,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"4,810 C-Bill",31,Independent,Star's End (Novo Cressidas),2994-04-25,3028-01-01,3028-09-04,,,3031-02-14,No,Yes,No,Yes,N/A,Yes,N/A,0,0,0,0,0,-2,1,0,0,9,Early Childhood,Resolute (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,William,Kleppa,,William,Kleppa,,,Sourdough,3006-10-28,Killed in Action,Male,Veteran,Vehicle Gunner,-,-,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,"1,685 C-Bill",31,Mercenary,Verthandi (Norn),3006-10-28,3028-01-01,3029-12-11,,,3031-02-14,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,-1,1,0,0,9,Early Childhood,Inflexible (-),None (-),Lustful (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Masaru,Yi,,Masaru,Yi,,,Taniwha,3000-08-17,Killed in Action,Male,Regular,Vehicle Gunner,-,-,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,747 C-Bill,31,Mercenary,Csesztreg,3000-08-17,3028-01-01,3029-12-11,,,3031-02-14,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,9,Early Childhood,Daring (+),None (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Aksata,Qadir-Kumawagra,,Aksata,Qadir-Kumawagra,,,Plan B,3000-09-16,Killed in Action,Male,Ultra-Green,Vehicle Crewmember / VTOL Pilot,-,-,-,-/-,-/-,-/-,-/7,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,8,-,-,-,-,-,-,0,2,672 C-Bill,21,Mercenary,Treeline,3000-09-16,3028-01-01,3029-12-11,,,3031-02-14,No,Yes,No,No,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,9,Early Childhood,Assertive (+),None (-),None (-),Tactful (+),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Dhyana,Isaacs,,Dhyana,Isaacs,,,Steamer Duck,3002-03-16,Killed in Action,Male,Regular,Vehicle Crewmember,-,-,-,-/-,-/-,-/-,-/8,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,2,747 C-Bill,26,Lyran Commonwealth,Toland,3002-03-16,3028-01-01,3029-12-11,,,3031-02-14,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,9,Early Childhood,Tenacious (+),None (-),Intuitive (++),None (-),14,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Haniyya,bin Sajid,,Haniyya,bin Sajid,,,Luna,3002-01-07,Killed in Action,Female,Veteran,VTOL Pilot,-,-,-,-/-,4/-,4/-,4/4,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,195 C-Bill",0,Draconis Combine,Verthandi (Norn),3002-01-07,3028-01-01,3028-09-22,,,3028-12-08,No,Yes,No,Yes,N/A,Yes,N/A,0,0,0,0,0,-1,1,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),15,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Joel,Akua,,Joel,Akua,,,Rafter,3004-11-26,Killed in Action,Female,Veteran,Vehicle Gunner,-,-,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,195 C-Bill",0,Mercenary,Trell I,3004-11-26,3028-01-01,3028-09-22,,,3028-12-08,No,Yes,No,N/A,Yes,Yes,N/A,0,0,0,0,0,-1,1,1,0,9,Early Childhood,None (-),None (-),None (-),None (-),9,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Debra,Durán,,Debra,Durán,,,Crashdown,2996-04-07,Killed in Action,Female,Veteran,Vehicle Gunner,-,-,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,"1,195 C-Bill",0,Mercenary,Icar,2996-04-07,3028-01-01,3028-09-22,,,3028-12-08,No,Yes,No,Yes,N/A,Yes,N/A,0,0,0,0,0,-1,1,0,0,9,Early Childhood,None (-),Ruthless (-),None (-),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Nira,Cabecinho,,Nira,Cabecinho,,,Hardcore,3006-10-18,Killed in Action,Female,Regular,Vehicle Crewmember,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,6,-,-,-,-,-,-,0,3,747 C-Bill,0,Draconis Combine,Harvest,3006-10-18,3028-01-01,3028-09-22,,,3028-12-08,No,Yes,No,Yes,N/A,Yes,N/A,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),None (-),Sincere (+),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,Myun-gu,Mangchol,,Myun-gu,Mangchol,,,Leech,3005-09-28,Killed in Action,Male,Ultra-Green,Vehicle Crewmember,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,0,3,448 C-Bill,0,Draconis Combine,Csesztreg,3005-09-28,3028-01-01,3028-09-22,,,3028-12-08,No,Yes,No,Yes,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),None (-),None (-),17,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Sergeant,Gheorghita,Zhou,,Gheorghita,Zhou,,,Toad,3000-12-10,Active,Female,Veteran,VTOL Pilot,Strike Falcon Attack VTOL [Driver],Charlie VTOL Insertion Team,-,-/-,4/-,4/-,4/4,-/-,-/-,-/-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,0,1,"2,635 C-Bill",55,Mercenary,Trell I,3000-12-10,3028-01-01,3029-12-10,,,,No,Yes,No,Yes,N/A,Yes,No,0,0,0,0,0,0,1,0,0,9,Early Childhood,None (-),None (-),Profitable (+),None (-),12,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Private,John,Martin,,John,Martin,,,Duchess,3006-07-04,Active,Male,Regular,Vehicle Gunner,Strike Falcon Attack VTOL [Gunner],Charlie VTOL Insertion Team,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,747 C-Bill,34,Mercenary,Persistence,3006-07-04,3028-01-01,3029-12-11,,,,No,Yes,No,N/A,Yes,N/A,No,0,0,0,0,0,1,1,0,0,9,Early Childhood,None (-),None (-),None (-),Callous (-),13,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
"",Corporal,Rashad,Tassioglou,,Rashad,Tassioglou,,,Alchemist,3008-02-27,Active,Male,Regular,Vehicle Gunner,Strike Falcon Attack VTOL [Gunner],Charlie VTOL Insertion Team,-,-/-,4/7,4/-,4/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,"1,053 C-Bill",27,Lyran Commonwealth,Icar,3008-02-27,3028-01-01,3029-12-11,,,,No,Yes,No,Yes,N/A,N/A,No,0,0,0,0,0,1,1,0,0,9,Early Childhood,Belligerent (-),None (-),None (-),Disingenuous (-),15,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 8,5 / 9
