Person,Rank,First Name,Last Name,Pre-Nominal,Given Name,Surname,Bloodname,Post-Nominal,Callsign,Age,Status,Gender,Skill Level,Role,Unit Assignment,Force,Deployed,Mek,Vehicle,Naval,VTOL,Aero,Aircraft,Vessel,Battle Armour,Small Arms,Anti-Mek,Artillery,Tactics,Strategy,Leadership,Tech/Mek,Tech/Aero,Mechanic,Tech/BA,Tech/Vessel,Medical,Admin,Negotiation,Scrounge,Injuries,Kills,Salary,XP,Origin Faction,Origin Planet,Birthday,Recruitment Date,Last Rank Change,Due Date,Retirement Date,Death Date,Commander,Founder,Clan Personnel,Interested in Marriage,Divorceable,Interested in Children,Excluded from Random Death,Toughness,Fatigue,Edge,SPA Count,Implant Count,Loyalty,Education,Aggression,Ambition,Greed,Social,Intelligence
"",Spaceman Recruit,Romano,Massari,,Romano,Massari,,,,23,Active,Male,Regular,Vessel Pilot,Union (Crows Nest) [Pilot],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Dieron,3127-11-20,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,9,High School,None (-),None (-),None (-),Altruistic (++),18
"",Spaceman Recruit,Robert,,,Robert,,,,,24,Active,Male,Regular,Freeborn Vessel Pilot,Union (Crows Nest) [Pilot],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/5,-,6,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Clan Jade Falcon,Rigil Kentarus,3127-01-25,3151-02-19,3151-02-19,,,,No,No,Yes,Yes,N/A,N/A,No,1,-2,0,0,0,11,College,Murderous (--),None (-),None (-),None (-),12
"",Spaceman Recruit,Jean,Carp,,Jean,Carp,,,,25,Active,Male,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,6,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Capolla,3125-08-18,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,13,College,None (-),Conniving (-),None (-),None (-),12
"",Spaceman Recruit,Kamarupa,,,Kamarupa,,,,,23,Active,Male,Green,Freeborn Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,6/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,20,Clan Jade Falcon,Zollikofen,3127-07-29,3151-02-19,3151-05-13,,,,No,No,Yes,Yes,N/A,N/A,No,0,-2,0,0,0,7,High School,None (-),None (-),None (-),Introverted (+),12
"",Spaceman Recruit,Muldoom,McElroy,,Muldoom,McElroy,,,,19,Active,Male,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Asta,3131-09-19,3151-02-19,3151-02-19,,,,No,No,No,No,N/A,N/A,No,0,0,0,0,0,15,High School,Hostile (-),None (-),None (-),None (-),13
"",Spaceman Recruit,Bojan,Polak,,Bojan,Polak,,,,23,Active,Male,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,5,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Oliver,3127-09-19,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,9,High School,None (-),None (-),Voracious (+),None (-),15
"",Spaceman Recruit,Annmarie,Khudiadadzai,,Annmarie,Khudiadadzai,,,,25,Active,Female,Regular,Vessel Gunner,Union (Crows Nest) [Gunner],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,5/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,670 C-Bill,15,Mercenary,Saffel,3126-04-20,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,9,High School,None (-),None (-),None (-),Friendly (+),13
"",Petty Officer,Elizabeth,Lawson,,Elizabeth,Lawson,,,,27,Active,Male,Elite,Vessel Crewmember/Mek Tech,Union (Crows Nest) [Crew],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/5,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-,-,0,1,"1,170 C-Bill",15,Lyran Commonwealth,Nuneaton,3124-03-29,3151-02-19,3151-02-19,,,,No,No,No,N/A,Yes,N/A,No,0,-2,0,0,0,11,Post-Graduate,Brash (-),None (-),None (-),None (-),14
"",,Foloida,Kadee,,Foloida,Kadee,,,,23,Active,Male,None,Dependent,-,-,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0 C-Bill,0,Mercenary,Terra,3127-08-17,3151-02-19,,,,,No,No,No,N/A,Yes,N/A,No,0,0,0,0,0,5,Early Childhood,None (-),None (-),None (-),None (-),15
"",Commander,Sam,Hofsteder,,Sam,Hofsteder,,,,26,Active,Male,Elite,Vessel Pilot,Union (Crows Nest) [Crew],DropShip,-,-/-,-/-,-/-,-/-,-/-,-/-,-/3,-,6,-,-,-,-,-,-,-,-,-,4,-,-,-,-,0,1,"2,000 C-Bill",15,Lyran Commonwealth,York (LC),3125-05-01,3151-02-19,3151-02-19,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,8,College,Diplomatic (++),None (-),None (-),None (-),12
"",Sergeant,Preki,Drach,,Preki,Drach,,,,20,Active,Male,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",0,Mercenary,Rigil Kentarus,3130-08-10,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,-2,2,0,0,16,High School,None (-),Opportunistic (+),None (-),None (-),17
"",Captain,Lupe,Christensen,,Lupe,Christensen,,,,20,Active,Female,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,2/-,2/-,2/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,800 C-Bill",0,Mercenary,Yorii,3130-05-29,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,-2,2,0,0,8,High School,None (-),Aspiring (+),None (-),None (-),12
"",Corporal,Steve,Roecken,,Steve,Roecken,,,,24,Active,Male,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,6,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Styx,3127-03-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,2,0,0,8,High School,None (-),Unambitious (-),None (-),None (-),12
"",Corporal,Asmara,Tsang,,Asmara,Tsang,,,,20,Active,Male,Elite,Vehicle Gunner,Rommel Tank (Howitzer) Production [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Bryant,3130-11-11,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,2,0,0,16,High School,None (-),None (-),None (-),Erratic (-),12
"",Corporal,Hauptmann,Luca Kaplan,,Hauptmann,Luca Kaplan,,,,26,Active,Female,Regular,Vehicle Driver,Rommel Tank (Howitzer) Production [Driver],Charlie Lance,-,-/-,3/5,3/-,3/-,-/-,-/-,-/-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Dieron,3124-05-14,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,1,0,2,0,0,10,High School,Decisive (+),None (-),None (-),None (-),12
"",Sergeant,Patti,Ríos,,Patti,Ríos,,,,26,Active,Female,Veteran,Vehicle Gunner,JES III Missile Carrier [Gunner],Charlie Lance,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",0,Mercenary,Yorii,3124-07-19,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,-1,0,0,0,11,High School,None (-),None (-),None (-),Friendly (+),12
"",Corporal,Michael,Hoetker,,Michael,Hoetker,,,,18,Active,Male,Regular,Vehicle Gunner,JES III Missile Carrier [Gunner],Charlie Lance,-,-/-,5/-,5/-,5/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Saffel,3132-09-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,14,High School,None (-),None (-),None (-),None (-),12
"",Corporal,Mike,Sabourin,,Mike,Sabourin,,,,22,Active,Male,Veteran,Vehicle Gunner,JES III Missile Carrier [Gunner],Charlie Lance,-,-/-,4/-,4/-,4/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Denebola,3128-10-08,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,14,College,Hostile (-),None (-),None (-),None (-),12
"",Corporal,Bimo,Soedjatmoko,,Bimo,Soedjatmoko,,,,17,Active,Male,Regular,Vehicle Driver,JES III Missile Carrier [Driver],Charlie Lance,-,-/-,4/5,4/-,4/-,-/-,-/-,-/-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Dyev,3133-05-30,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,13,High School,None (-),None (-),Mercenary (-),Petty (-),13
"",Sergeant,Gerardo,Hernández,,Gerardo,Hernández,,,,19,Active,Other,Green,Vehicle Gunner,Drillson Heavy Hover Tank (Streak) [Gunner],Charlie Lance,-,-/-,6/-,6/-,6/-,-/-,-/-,-/-,-,6,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,647 C-Bill",0,Mercenary,Thorin,3131-07-10,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,19,High School,None (-),Aspiring (+),Nefarious (--),None (-),12
"",Corporal,Firdoze,Shirani,,Firdoze,Shirani,,,,21,Active,Male,Elite,Vehicle Gunner,Drillson Heavy Hover Tank (Streak) [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Yorii,3129-05-14,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,10,College,Assertive (+),None (-),None (-),None (-),15
"",Corporal,Juan,Reyes,,Juan,Reyes,,,,21,Active,Male,Elite,Vehicle Gunner,Drillson Heavy Hover Tank (Streak) [Gunner],Charlie Lance,-,-/-,3/-,3/-,3/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,New Home,3129-06-03,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,6,High School,None (-),None (-),Insightful (+),None (-),12
"",Corporal,Kyle,Stewart,,Kyle,Stewart,,,,20,Active,Male,Regular,Vehicle Driver,Drillson Heavy Hover Tank (Streak) [Driver],Charlie Lance,-,-/-,4/5,4/-,4/-,-/-,-/-,-/-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,053 C-Bill",0,Mercenary,Muphrid,3130-08-09,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,8,High School,None (-),None (-),Insatiable (-),None (-),10
"",Corporal,Neritan,Mala,,Neritan,Mala,,,,25,Active,Female,Regular,Battle Armor Pilot,Gray Death Standard Suit [SRM](Sqd4),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,4,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,685 C-Bill",0,Mercenary,Altair,3125-08-04,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,0,0,0,0,13,High School,None (-),Goal-Oriented (+),None (-),None (-),12
"",Corporal,Joo-Eun,Pak,,Joo-Eun,Pak,,,,27,Active,Female,Elite,Battle Armor Pilot/Battle Armor Tech,Gray Death Standard Suit [SRM](Sqd4),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,1,5,5,-,-,-,-,-,-,-,5,-,-,-,-,-,0,0,"1,685 C-Bill",0,Mercenary,Caph,3123-08-01,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,Yes,No,0,-2,0,0,0,12,College,None (-),Persistent (+),None (-),None (-),12
"",Corporal,Suvarnaprabha,Fotiadis,,Suvarnaprabha,Fotiadis,,,,17,Active,Female,Green,Battle Armor Pilot,Gray Death Standard Suit [SRM](Sqd4),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,5,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,685 C-Bill",0,Mercenary,Pike IV,3133-09-22,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,10,High School,None (-),None (-),None (-),None (-),17
"",Sergeant,Terry,Hoan,,Terry,Hoan,,,,28,Active,Male,Veteran,Battle Armor Pilot,Gray Death Standard Suit [SRM](Sqd4),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,3,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"2,635 C-Bill",0,Mercenary,Yorii,3122-09-21,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,15,High School,None (-),None (-),Astute (+),None (-),12
"",Corporal,Isolde,Jovic,,Isolde,Jovic,,,,34,Active,Male,Green,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,6,-,-,4,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Zavijava,3116-06-30,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,11,College,None (-),None (-),None (-),None (-),17
"",Corporal,Yoshida,Murata,,Yoshida,Murata,,,,21,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Epsilon Indi,3130-01-10,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,14,High School,Inflexible (-),None (-),None (-),None (-),12
"",Corporal,Jay-hoon,Ramírez,,Jay-hoon,Ramírez,,,,20,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Capolla,3130-11-24,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,14,High School,Decisive (+),None (-),None (-),None (-),12
"",Corporal,Stanislav,Sibincic,,Stanislav,Sibincic,,,,18,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Epsilon Eridani,3132-08-13,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,-1,0,0,0,14,College,None (-),None (-),None (-),Callous (-),12
"",Corporal,Tito,Gruska,,Tito,Gruska,,,,27,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Pike IV,3123-11-05,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,12,High School,None (-),None (-),None (-),None (-),16
"",Corporal,Kha'n,Drewry,,Kha'n,Drewry,,,,21,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Imbros III,3130-01-16,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,11,High School,None (-),Unambitious (-),None (-),None (-),12
"",Sergeant,Talos,Plastiras,,Talos,Plastiras,,,,29,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,372 C-Bill",0,Mercenary,Athenry,3122-03-21,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,14,High School,None (-),None (-),Dynamic (+),None (-),12
"",Corporal,Jennifer,Shetty,,Jennifer,Shetty,,,,20,Active,Female,Green,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,6,-,5,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Styx,3130-09-03,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,No,No,0,0,0,0,0,12,High School,None (-),None (-),None (-),Considerate (+),12
"",Corporal,Thomasina,Nance,,Thomasina,Nance,,,,18,Active,Female,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,6,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Alula Australis,3132-10-06,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,Yes,No,0,-1,0,0,0,11,High School,None (-),None (-),Self-Serving (-),Persuasive (+),12
"",Corporal,Amir,le Guen,,Amir,le Guen,,,,20,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Caph,3130-08-15,3151-05-13,3151-05-13,,,,No,No,No,No,N/A,N/A,No,0,-2,0,0,0,15,High School,None (-),Innovative (++),None (-),None (-),12
"",Corporal,Claude,Paquet,,Claude,Paquet,,,,22,Active,Male,Regular,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,5,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Imbros III,3129-04-29,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,0,0,0,0,10,College,Savage (--),None (-),None (-),None (-),11
"",Corporal,Bento,Jaudenes,,Bento,Jaudenes,,,,27,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Lipton,3124-04-29,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,11,College,Daring (+),None (-),None (-),None (-),12
"",Corporal,Dennis,Xiong,,Dennis,Xiong,,,,23,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Lipton,3128-04-21,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,14,High School,Reckless (-),None (-),None (-),None (-),12
"",Sergeant,Ryan,Gray,,Ryan,Gray,,,,26,Active,Male,Elite,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,"1,372 C-Bill",0,Mercenary,Yorii,3124-09-25,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-2,0,0,0,14,High School,Aggressive (-),None (-),None (-),None (-),13
"",Corporal,Markus,Plihta,,Markus,Plihta,,,,20,Active,Male,Veteran,Soldier,Foot Platoon (Anti-'Mech) (Rifle),Charlie Lance,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,878 C-Bill,0,Mercenary,Tau Ceti,3131-03-31,3151-05-13,3151-05-13,,,,No,No,No,Yes,N/A,N/A,No,0,-1,0,0,0,5,High School,None (-),Aspiring (+),None (-),None (-),12
